Sample_ID	Exp_level	Cancer_type	Tissue_type
TCGA-AX-A3FX-01A-11R-A22K-07	1.11482251196982	UCEC	Cancer
TCGA-DI-A2QU-01A-11R-A18M-07	0.640239022778634	UCEC	Cancer
TCGA-BQ-5889-01A-11R-1592-07	11.1635070541641	KIRP	Cancer
TCGA-TM-A84H-01A-11R-A36H-07	0.162111009776816	LGG	Cancer
TCGA-B8-5550-01A-01R-1541-07	6.11951389927018	KIRC	Cancer
TCGA-HC-7819-01A-11R-2118-07	0.528126352501102	PRAD	Cancer
TCGA-XF-AAMJ-01A-11R-A42T-07	2.09734701029461	BLCA	Cancer
TCGA-V1-A9OY-01A-11R-A41O-07	1.68481761218001	PRAD	Cancer
TCGA-VS-A8QC-01A-11R-A37O-07	3.74423002639996	CESC	Cancer
TCGA-CC-A3MB-01A-11R-A213-07	1.07660537244696	LIHC	Cancer
TCGA-29-1701-01A-01R-1567-13	1.18114456798139	OV	Cancer
TCGA-AR-A256-01A-11R-A169-07	0.604665782452541	BRCA	Cancer
TCGA-DD-A39V-01A-11R-A213-07	6.33893556904881	LIHC	Cancer
TCGA-CZ-5460-01A-01R-1503-07	11.0133514842564	KIRC	Cancer
TCGA-50-5944-01A-11R-1755-07	1.37016415021527	LUAD	Cancer
TCGA-KU-A6H7-01A-11R-A31N-07	20.1007143973429	HNSC	Cancer
TCGA-DM-A280-01A-12R-A16W-07	0.735733131165721	COAD	Cancer
TCGA-4Z-AA7M-01A-11R-A39I-07	0.563511335423843	BLCA	Cancer
TCGA-KM-8639-01A-11R-2403-07	2.36829762282356	KICH	Cancer
TCGA-P3-A5Q5-01A-11R-A28V-07	21.7768642162683	HNSC	Cancer
TCGA-D3-A3MU-06A-11R-A21D-07	2.3649579065986	SKCM	Cancer
TCGA-E2-A1IN-01A-11R-A13Q-07	0.327496262601829	BRCA	Cancer
TCGA-K4-AAQO-01A-11R-A38B-07	2.34568421820302	BLCA	Cancer
TCGA-E2-A14U-01A-11R-A22K-07	0.950968976755285	BRCA	Cancer
TCGA-FG-5964-01A-11R-1708-07	1.12273678955607	LGG	Cancer
TCGA-D8-A147-01A-11R-A115-07	2.28827108429038	BRCA	Cancer
TCGA-AA-3713-01A-21R-1723-07	8.12870500309589	COAD	Cancer
TCGA-P5-A781-01A-11R-A32Q-07	0.259275534871532	LGG	Cancer
TCGA-DD-A114-01A-11R-A131-07	8.40333830917282	LIHC	Cancer
TCGA-AA-A02H-01A-01R-A089-07	1.16260578069227	COAD	Cancer
TCGA-86-8076-01A-31R-2241-07	10.0526499580374	LUAD	Cancer
TCGA-AF-2693-01A-02R-1736-07	1.79815667023886	READ	Cancer
TCGA-ET-A3DV-01A-12R-A206-07	0.0629824867073508	THCA	Cancer
TCGA-DS-A7WI-01A-12R-A352-07	6.88314681655477	CESC	Cancer
TCGA-D3-A2J8-06A-11R-A18T-07	43.1737960290323	SKCM	Cancer
TCGA-B6-A0IP-01A-11R-A034-07	1.2642903519697	BRCA	Cancer
TCGA-N5-A4RA-01A-11R-A28V-07	0.833979633912437	UCS	Cancer
TCGA-DD-AADF-01A-11R-A41C-07	2.94460060872826	LIHC	Cancer
TCGA-BH-A0BO-01A-23R-A12D-07	1.93350964378447	BRCA	Cancer
TCGA-50-5055-01A-01R-1628-07	9.97874001676638	LUAD	Cancer
TCGA-55-8510-01A-11R-2403-07	8.44871845629809	LUAD	Cancer
TCGA-BT-A2LB-11A-11R-A18C-07	3.13791553318363	BLCA	Normal
TCGA-A8-A0A6-01A-12R-A056-07	4.94859810442362	BRCA	Cancer
TCGA-AB-2914-03A-01T-0734-13	7.95403392815443	LAML	Cancer
TCGA-77-A5GH-01A-11R-A27Q-07	18.8524895942955	LUSC	Cancer
TCGA-D7-A4YT-01A-11R-A251-31	1.86301671576076	STAD	Cancer
TCGA-56-7582-11A-01R-2045-07	8.83981152262003	LUSC	Normal
TCGA-24-1426-01A-01R-1565-13	0.165064907077167	OV	Cancer
TCGA-BH-A1FG-11B-12R-A13Q-07	1.00864558791417	BRCA	Normal
TCGA-GN-A4U4-06A-11R-A32P-07	1.34937006116234	SKCM	Cancer
TCGA-56-1622-01A-01R-0692-07	1.39626399071018	LUSC	Cancer
LWS3	2.01	UTROSCT	Cancer
TCGA-G9-7525-01A-31R-2263-07	0.736260992052545	PRAD	Cancer
TCGA-46-6025-01A-11R-1820-07	3.01625328147101	LUSC	Cancer
TCGA-LL-A440-01A-11R-A24H-07	2.23938005862379	BRCA	Cancer
TCGA-BJ-A0Z5-01A-11R-A10U-07	2.28196899171392	THCA	Cancer
TCGA-S3-AA15-01A-11R-A41B-07	10.8812661253876	BRCA	Cancer
TCGA-FG-5963-02A-12R-A29R-07	0.43792780843141	LGG	Cancer
TCGA-61-1728-01A-01R-1568-13	0.760771037610866	OV	Cancer
TCGA-G3-AAV5-01A-11R-A37K-07	1.05792405357952	LIHC	Cancer
TCGA-05-4434-01A-01R-1206-07	7.65014267927714	LUAD	Cancer
TCGA-P5-A5EW-01A-11R-A27Q-07	0.259967903263974	LGG	Cancer
TCGA-TM-A84O-01A-11R-A36H-07	0.304253234627051	LGG	Cancer
TCGA-IC-A6RF-11A-21R-A336-31	0.253273453952969	ESCA	Normal
TCGA-UF-A71A-06A-11R-A39I-07	0.226725739060386	HNSC	Cancer
TCGA-DR-A0ZL-01A-11R-A10U-07	1.12889213668834	CESC	Cancer
TCGA-GH-A9DA-01A-21R-A37O-07	6.61533657664234	CESC	Cancer
TCGA-L3-A4E7-01A-11R-A24Z-07	3.20876228611281	LUSC	Cancer
TCGA-37-3789-01A-01R-0980-07	12.6658953248936	LUSC	Cancer
TCGA-EO-A3B1-01A-12R-A19W-07	6.95634659648821	UCEC	Cancer
TCGA-AB-2843-03A-01T-0736-13	40.4719629906055	LAML	Cancer
TCGA-24-2267-01A-01R-1568-13	2.90632456796226	OV	Cancer
TCGA-G3-A3CK-01A-11R-A213-07	4.46465461560369	LIHC	Cancer
TCGA-14-0790-01B-01R-1849-01	0.843554655992971	GBM	Cancer
TCGA-36-1576-01A-01R-1566-13	2.63053175028299	OV	Cancer
TCGA-DD-A1EJ-01A-11R-A155-07	0.63983141971216	LIHC	Cancer
TCGA-B5-A11S-01A-11R-A118-07	1.46659940256109	UCEC	Cancer
TCGA-KM-8439-01A-11R-2315-07	3.02030840548963	KICH	Cancer
TCGA-DB-A64O-01A-11R-A29R-07	0.328546387878937	LGG	Cancer
TCGA-09-1668-01B-01R-1566-13	4.05908882571099	OV	Cancer
TCGA-D1-A0ZS-01A-11R-A118-07	0.671141331220381	UCEC	Cancer
TCGA-DJ-A3UQ-01A-11R-A22L-07	1.59726346379543	THCA	Cancer
